Type,Count,Size,Threshold,Architecture,Mode
Inflated,0,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Both,0,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_M
Total,10000000,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Disassembled,5184199,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Inflated,0,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Both,0,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_X
Total,10000000,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Disassembled,4872061,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Inflated,0,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Both,0,2,95,CS_ARCH_MOS65XX,CS_MODE_MOS65XX_65816_LONG_MX
Total,10000000,2,95,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Disassembled,3185920,2,95,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Inflated,0,2,95,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Both,0,2,95,CS_ARCH_WASM,CS_MODE_LITTLE_ENDIAN
Total,10000000,2,95,CS_ARCH_RISCV,CS_MODE_RISCVC
Disassembled,7092977,2,95,CS_ARCH_RISCV,CS_MODE_RISCVC
Inflated,0,2,95,CS_ARCH_RISCV,CS_MODE_RISCVC
Both,0,2,95,CS_ARCH_RISCV,CS_MODE_RISCVC
Total,10000000,2,95,CS_ARCH_SH,CS_MODE_SH2
Disassembled,8271729,2,95,CS_ARCH_SH,CS_MODE_SH2
Inflated,0,2,95,CS_ARCH_SH,CS_MODE_SH2
Both,0,2,95,CS_ARCH_SH,CS_MODE_SH2
Total,10000000,2,95,CS_ARCH_SH,CS_MODE_SH3
